character_code,character_name,pick_share_2.0,pick_share_3.0,pick_share_4.0,top3_rate_2.0,top3_rate_3.0,top3_rate_4.0,win_rate_2.0,win_rate_3.0,win_rate_4.0,avg_rank_2.0,avg_rank_3.0,avg_rank_4.0,delta_4_vs_2,delta_4_vs_3,delta_top3_4_vs_2,delta_top3_4_vs_3,delta_win_4_vs_2,delta_win_4_vs_3,delta_rank_4_vs_2,delta_rank_4_vs_3,meta_shift_type,patch_impact_type,meta_shift_refined
1,재키,1.25,1.33,1.58,38.16,32.72,38.02,11.18,8.02,13.02,4.43,4.67,4.3,0.33,0.25,-0.14,5.3,1.84,5.0,-0.13,-0.37,기존 상승,환경 변화 수혜,지속 상승
2,아야,2.43,2.7,2.55,36.27,38.11,36.77,11.19,14.33,13.23,4.5,4.32,4.53,0.12,-0.15,0.5,-1.34,2.04,-1.1,0.03,0.21,기존 상승,직접 버프 수혜,2.0 대비 상승 / 3.0 대비 정체·하락
4,매그너스,1.67,1.73,1.59,39.41,40.48,34.2,8.87,13.33,12.44,4.4,4.28,4.45,-0.08,-0.14,-5.21,-6.28,3.57,-0.89,0.05,0.17,기존 하락,환경 변화 밀림,지속 하락
6,나딘,0.0,0.0,1.19,,,45.14,,,13.19,,,4.19,1.19,1.19,,,,,,,신규 유입,직접 버프 수혜,신규 유입
7,현우,1.14,1.17,1.45,38.41,40.85,43.18,14.49,16.9,15.91,4.41,4.29,4.24,0.31,0.28,4.77,2.33,1.42,-0.99,-0.17,-0.05,기존 상승,직접 버프 수혜,지속 상승
9,아이솔,1.42,1.23,1.52,36.63,43.62,40.22,9.88,16.78,10.33,4.55,4.12,4.47,0.1,0.29,3.59,-3.4,0.45,-6.45,-0.08,0.35,기존 상승,환경 변화 수혜,지속 상승
10,리 다이린,1.57,1.28,1.28,37.17,37.18,46.15,14.14,10.9,14.74,4.43,4.29,4.24,-0.29,0.0,8.98,8.97,0.6,3.84,-0.19,-0.05,기존 하락,환경 변화 밀림,보류
11,유키,1.94,2.15,2.31,37.29,39.08,37.86,12.71,10.34,14.64,4.44,4.39,4.38,0.37,0.16,0.57,-1.22,1.93,4.3,-0.06,-0.01,기존 상승,직접 버프 수혜,지속 상승
14,키아라,1.84,1.58,1.04,34.98,28.12,33.33,15.25,8.33,10.32,4.41,5.08,4.58,-0.8,-0.54,-1.65,5.21,-4.93,1.99,0.17,-0.5,기존 하락,환경 변화 밀림,지속 하락
15,시셀라,0.0,0.0,1.03,,,38.4,,,12.0,,,4.22,1.03,1.03,,,,,,,신규 유입,보류,신규 유입
