play_date,version,character_code,character_name,pick_count,team_count,top3_rate,win_rate,avg_rank,total_slots,total_teams,pick_share
2026-02-15,2.0,72,카티야,229,229,34.93,11.79,4.62,5163,1721,4.44
2026-02-15,2.0,78,히스이,169,169,31.36,10.65,4.87,5163,1721,3.27
2026-02-15,2.0,86,펜리르,146,146,34.25,9.59,4.575,5163,1721,2.83
2026-02-15,2.0,74,다르코,142,142,36.62,10.56,4.415,5163,1721,2.75
2026-02-15,2.0,64,바냐,128,128,42.19,10.16,4.422,5163,1721,2.48
2026-02-15,2.0,75,르노어,121,121,39.67,10.74,4.43,5163,1721,2.34
2026-02-15,2.0,11,유키,118,118,41.53,11.02,4.288,5163,1721,2.29
2026-02-15,2.0,67,아비게일,118,118,43.22,11.02,4.331,5163,1721,2.29
2026-02-15,2.0,65,데비&마를렌,112,112,39.29,8.93,4.375,5163,1721,2.17
2026-02-15,2.0,21,로지,111,111,33.33,11.71,4.55,5163,1721,2.15
2026-02-15,2.0,58,헤이즈,106,106,38.68,14.15,4.264,5163,1721,2.05
2026-02-15,2.0,14,키아라,104,104,35.58,18.27,4.346,5163,1721,2.01
2026-02-15,2.0,22,루크,104,104,41.35,17.31,4.115,5163,1721,2.01
2026-02-15,2.0,85,미르카,104,104,43.27,14.42,4.404,5163,1721,2.01
2026-02-15,2.0,2,아야,99,99,36.36,12.12,4.343,5163,1721,1.92
2026-02-15,2.0,4,매그너스,98,98,41.84,12.24,4.316,5163,1721,1.9
2026-02-15,2.0,83,헨리,97,97,54.64,13.4,3.753,5163,1721,1.88
2026-02-15,2.0,10,리 다이린,91,91,45.05,18.68,4.308,5163,1721,1.76
2026-02-15,2.0,9,아이솔,89,89,34.83,7.87,4.798,5163,1721,1.72
2026-02-15,2.0,31,리오,85,85,37.65,15.29,4.553,5163,1721,1.65
2026-02-15,2.0,53,마커스,84,84,22.62,8.33,4.845,5163,1721,1.63
2026-02-15,2.0,29,레온,81,81,34.57,12.35,4.667,5163,1721,1.57
2026-02-15,2.0,20,레녹스,80,80,37.5,8.75,4.288,5163,1721,1.55
2026-02-15,2.0,42,비앙카,76,76,36.84,19.74,4.447,5163,1721,1.47
2026-02-15,2.0,79,유스티나,76,76,43.42,15.79,4.395,5163,1721,1.47
2026-02-15,2.0,33,니키,73,73,30.14,6.85,5.014,5163,1721,1.41
2026-02-15,2.0,30,일레븐,68,68,33.82,19.12,4.706,5163,1721,1.32
