characterNum,name_en,name_ko,bestWeapon_code,weapon_type_en,weapon_name_ko,character_weapon_key,character_role_main_default,character_role_alt_default,character_role_sub_1_default,character_role_sub_2_default,role_main,role_alt,role_sub_1,role_sub_2,weapon_role_notes,mapping_source,review_status,pick_count,game_count
1,Jackie,재키,14,Axe,도끼,재키|도끼,암살,브루저,,,브루저,,,,도끼 재키는 교전 지속력 비중을 반영해 브루저로 분리 | namu_guide_roles=전사,weapon_override_search,reviewed,911,902
1,Jackie,재키,15,Dagger,단검,재키|단검,암살,브루저,,,암살,브루저,,,단검 재키는 기본 암살 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,2757,2662
1,Jackie,재키,16,TwoHandSword,양손검,재키|양손검,암살,브루저,,,근거리 딜러,브루저,,,양손검 재키는 정면 교전 비중이 커서 근거리 딜러로 분리 | namu_guide_roles=전사,weapon_override_search,reviewed,4376,4081
1,Jackie,재키,18,DualSword,쌍검,재키|쌍검,암살,브루저,,,암살,브루저,,,쌍검 재키는 기본 암살 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,1962,1908
2,Aya,아야,9,Pistol,권총,아야|권총,메이지,원거리 딜러,,,원거리 딜러,메이지,,,화기 3종 모두 장거리 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,4244,3984
2,Aya,아야,10,AssaultRifle,돌격소총,아야|돌격소총,메이지,원거리 딜러,,,원거리 딜러,메이지,,,화기 3종 모두 장거리 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,6782,6133
2,Aya,아야,11,SniperRifle,저격총,아야|저격총,메이지,원거리 딜러,,,원거리 딜러,메이지,,,화기 3종 모두 장거리 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,3039,2885
3,Fiora,피오라,16,TwoHandSword,양손검,피오라|양손검,브루저,,,,근거리 딜러,브루저,,,양손검 피오라는 더 순수한 근접 딜러 성격 | namu_guide_roles=전사,weapon_override_search,reviewed,820,808
3,Fiora,피오라,19,Spear,창,피오라|창,브루저,,,,브루저,,,,창 피오라는 기본 브루저 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,631,619
3,Fiora,피오라,21,Rapier,레이피어,피오라|레이피어,브루저,,,,브루저,,,,레이피어 피오라는 기본 브루저 유지 | namu_guide_roles=전사,weapon_override_search,reviewed,3842,3597
4,Magnus,매그너스,3,Bat,방망이,매그너스|방망이,탱커,브루저,,,탱커,브루저,,,망치/방망이 모두 전방 진입과 버티기 축이 강해 기본 탱커 유지 | namu_guide_roles=전사 + 탱커,character_default_multi_reviewed_search,reviewed,3765,3550
4,Magnus,매그너스,13,Hammer,망치,매그너스|망치,탱커,브루저,,,탱커,브루저,,,망치/방망이 모두 전방 진입과 버티기 축이 강해 기본 탱커 유지 | namu_guide_roles=전사 + 탱커,character_default_multi_reviewed_search,reviewed,8005,7117
5,Zahir,자히르,5,Throw,투척,자히르|투척,메이지,,,,메이지,,,,투척/암기 모두 주문 기반 견제 성격이 강해 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,1579,1535
5,Zahir,자히르,6,Shuriken,암기,자히르|암기,메이지,,,,메이지,,,,투척/암기 모두 주문 기반 견제 성격이 강해 기본 메이지 유지 | namu_guide_roles=스킬 딜러,character_default_multi_reviewed_search,reviewed,1361,1327
6,Nadine,나딘,7,Bow,활,나딘|활,메이지,원거리 딜러,,,원거리 딜러,메이지,,,활/석궁 모두 장거리 기본 공격 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,2040,1966
6,Nadine,나딘,8,CrossBow,석궁,나딘|석궁,메이지,원거리 딜러,,,원거리 딜러,메이지,,,활/석궁 모두 장거리 기본 공격 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,4149,3868
7,Hyunwoo,현우,1,Glove,글러브,현우|글러브,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_multi_low_risk_confirmed,reviewed,8837,7728
7,Hyunwoo,현우,2,Tonfa,톤파,현우|톤파,브루저,,,,브루저,,,,namu_guide_roles=전사,character_default_multi_low_risk_confirmed,reviewed,1872,1829
8,Hart,하트,22,Guitar,기타,하트|기타,원거리 딜러,,,,원거리 딜러,,,,namu_guide_roles=원거리 딜러,character_default_confirmed,reviewed,2300,2222
9,Isol,아이솔,9,Pistol,권총,아이솔|권총,메이지,원거리 딜러,,,원거리 딜러,메이지,,,돌격소총/권총 모두 총기 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,2496,2412
9,Isol,아이솔,10,AssaultRifle,돌격소총,아이솔|돌격소총,메이지,원거리 딜러,,,원거리 딜러,메이지,,,돌격소총/권총 모두 총기 캐리 축으로 판단 | namu_guide_roles=원거리 딜러 + 스킬 딜러,weapon_override_search,reviewed,5860,5332
10,LiDailin,리 다이린,1,Glove,글러브,리 다이린|글러브,브루저,,,,브루저,,,,글러브/쌍절곤 모두 근접 난전형이라 기본 브루저 유지 | namu_guide_roles=전사,character_default_multi_reviewed_search,reviewed,5507,5078
