section,section_order,display_label,primary_signature,primary_story_tag,primary_team_count,primary_team_share_pct,primary_top3_rate,primary_top3_rate_diff,primary_win_rate,primary_win_rate_diff,primary_avg_rank,primary_avg_rank_diff,secondary_signature,secondary_story_tag,secondary_team_count,secondary_share_pct,secondary_top3_rate,secondary_win_rate,secondary_avg_rank,story_priority,display_order
역할 조합,1,역할 조합: 탱커|원거리 딜러|메이지,탱커|원거리 딜러|메이지,메인 강세 구조,8582,8.21,42.5,3.36,15.96,2.91,4.158,-0.188,망치|아르카나|저격총,보조 구조,175.0,2.04,37.71,13.71,4.326,1,1
역할 조합,1,역할 조합: 브루저|근거리 딜러|메이지,브루저|근거리 딜러|메이지,메인 표준 구조,5886,5.63,39.06,-0.08,12.84,-0.21,4.362,0.016,글러브|아르카나|양손검,고성능 니치 구조,158.0,2.68,44.94,12.03,3.987,2,2
역할 조합,1,역할 조합: 브루저|브루저|메이지,브루저|브루저|메이지,메인 표준 구조,5793,5.54,40.65,1.51,13.27,0.22,4.276,-0.07,글러브|아르카나|양손검,고성능 니치 구조,78.0,1.35,47.44,24.36,3.923,2,3
역할 조합,1,역할 조합: 브루저|암살|메이지,브루저|암살|메이지,메인 표준 구조,5648,5.4,38.97,-0.17,12.11,-0.94,4.35,0.004,글러브|단검|아르카나,보조 구조,79.0,1.4,41.77,13.92,3.962,2,4
역할 조합,1,역할 조합: 탱커|브루저|원거리 딜러,탱커|브루저|원거리 딜러,메인 표준 구조,5555,5.31,39.12,-0.02,14.06,1.01,4.327,-0.019,망치|양손검|저격총,보조 구조,127.0,2.29,44.88,14.17,4.181,2,5
역할 조합,1,역할 조합: 브루저|원거리 딜러|메이지,브루저|원거리 딜러|메이지,메인 표준 구조,5198,4.97,39.88,0.74,13.62,0.57,4.293,-0.053,글러브|암기|저격총,보조 구조,74.0,1.42,32.43,14.86,4.649,2,6
역할 조합,1,역할 조합: 탱커|브루저|메이지,탱커|브루저|메이지,메인 표준 구조,4301,4.11,38.53,-0.61,12.44,-0.61,4.351,0.005,망치|아르카나|양손검,보조 구조,63.0,1.46,25.4,4.76,5.0,2,7
역할 조합,1,역할 조합: 탱커|원거리 딜러|암살,탱커|원거리 딜러|암살,메인 표준 구조,3016,2.89,39.39,0.25,13.53,0.48,4.33,-0.016,단검|망치|저격총,보조 구조,106.0,3.51,35.85,11.32,4.528,2,8
역할 조합,1,역할 조합: 원거리 딜러|근거리 딜러|메이지,원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,2382,2.28,40.72,1.58,13.98,0.93,4.23,-0.116,권총|아르카나|양손검,보조 구조,80.0,3.36,38.75,15.0,4.212,3,9
역할 조합,1,역할 조합: 탱커|근거리 딜러|메이지,탱커|근거리 딜러|메이지,고성능 니치 구조,2067,1.98,40.2,1.06,13.84,0.79,4.281,-0.065,망치|아르카나|양손검,보조 구조,94.0,4.55,41.49,15.96,4.223,3,10
