weapon_role_signature_sorted,role_story_tag,role_total_team_count_shortlist,role_total_top3_rate,role_total_win_rate,role_total_avg_rank,weapon_signature_sorted,weapon_story_tag,weapon_rank_within_role,team_count,within_role_share_pct,top3_rate,win_rate,avg_rank
탱커|원거리 딜러|메이지,메인 강세 구조,8582,42.5,15.96,4.158,망치|아르카나|저격총,보조 구조,1,175,2.04,37.71,13.71,4.326
탱커|원거리 딜러|메이지,메인 강세 구조,8582,42.5,15.96,4.158,망치|암기|저격총,보조 구조,2,163,1.9,40.49,17.79,4.153
탱커|원거리 딜러|메이지,메인 강세 구조,8582,42.5,15.96,4.158,망치|저격총|투척,보조 구조,3,126,1.47,42.86,13.49,4.23
탱커|원거리 딜러|메이지,메인 강세 구조,8582,42.5,15.96,4.158,저격총|채찍|투척,고성능 니치 구조,4,120,1.4,50.83,22.5,3.725
탱커|원거리 딜러|메이지,메인 강세 구조,8582,42.5,15.96,4.158,망치|암기|활,보조 구조,5,116,1.35,38.79,13.79,4.284
브루저|근거리 딜러|메이지,메인 표준 구조,5886,39.06,12.84,4.362,글러브|아르카나|양손검,고성능 니치 구조,1,158,2.68,44.94,12.03,3.987
브루저|근거리 딜러|메이지,메인 표준 구조,5886,39.06,12.84,4.362,글러브|암기|양손검,보조 구조,2,113,1.92,34.51,15.93,4.46
브루저|근거리 딜러|메이지,메인 표준 구조,5886,39.06,12.84,4.362,아르카나|양손검|톤파,보조 구조,3,106,1.8,40.57,15.09,4.406
브루저|근거리 딜러|메이지,메인 표준 구조,5886,39.06,12.84,4.362,글러브|양손검|투척,고성능 니치 구조,4,101,1.72,43.56,21.78,4.059
브루저|근거리 딜러|메이지,메인 표준 구조,5886,39.06,12.84,4.362,아르카나|양손검|양손검,보조 구조,5,96,1.63,41.67,12.5,4.052
브루저|브루저|메이지,메인 표준 구조,5793,40.65,13.27,4.276,글러브|아르카나|양손검,고성능 니치 구조,1,78,1.35,47.44,24.36,3.923
브루저|브루저|메이지,메인 표준 구조,5793,40.65,13.27,4.276,글러브|암기|양손검,보조 구조,2,70,1.21,38.57,14.29,4.329
브루저|브루저|메이지,메인 표준 구조,5793,40.65,13.27,4.276,글러브|아르카나|톤파,기타 무기 조합,3,68,1.17,47.06,16.18,3.985
브루저|브루저|메이지,메인 표준 구조,5793,40.65,13.27,4.276,권총|글러브|양손검,메인 표준 구조,4,68,1.17,38.24,8.82,4.559
브루저|브루저|메이지,메인 표준 구조,5793,40.65,13.27,4.276,글러브|아르카나|창,기타 무기 조합,5,60,1.04,45.0,8.33,4.067
브루저|암살|메이지,메인 표준 구조,5648,38.97,12.11,4.35,글러브|단검|아르카나,보조 구조,1,79,1.4,41.77,13.92,3.962
브루저|암살|메이지,메인 표준 구조,5648,38.97,12.11,4.35,글러브|도끼|아르카나,보조 구조,2,68,1.2,35.29,7.35,4.559
브루저|암살|메이지,메인 표준 구조,5648,38.97,12.11,4.35,글러브|쌍검|아르카나,보조 구조,3,54,0.96,37.04,12.96,4.426
브루저|암살|메이지,메인 표준 구조,5648,38.97,12.11,4.35,권총|글러브|단검,보조 구조,4,50,0.89,42.0,4.0,4.4
브루저|암살|메이지,메인 표준 구조,5648,38.97,12.11,4.35,권총|글러브|도끼,보조 구조,5,47,0.83,42.55,21.28,3.957
탱커|브루저|원거리 딜러,메인 표준 구조,5555,39.12,14.06,4.327,망치|양손검|저격총,보조 구조,1,127,2.29,44.88,14.17,4.181
탱커|브루저|원거리 딜러,메인 표준 구조,5555,39.12,14.06,4.327,글러브|망치|저격총,보조 구조,2,117,2.11,33.33,12.82,4.624
탱커|브루저|원거리 딜러,메인 표준 구조,5555,39.12,14.06,4.327,양손검|저격총|채찍,보조 구조,3,79,1.42,37.97,24.05,4.177
탱커|브루저|원거리 딜러,메인 표준 구조,5555,39.12,14.06,4.327,글러브|망치|활,보조 구조,4,78,1.4,34.62,19.23,4.308
탱커|브루저|원거리 딜러,메인 표준 구조,5555,39.12,14.06,4.327,망치|양손검|활,보조 구조,5,73,1.31,39.73,15.07,4.411
브루저|원거리 딜러|메이지,메인 표준 구조,5198,39.88,13.62,4.293,글러브|암기|저격총,보조 구조,1,74,1.42,32.43,14.86,4.649
브루저|원거리 딜러|메이지,메인 표준 구조,5198,39.88,13.62,4.293,권총|글러브|암기,보조 구조,2,63,1.21,31.75,4.76,4.714
브루저|원거리 딜러|메이지,메인 표준 구조,5198,39.88,13.62,4.293,글러브|아르카나|저격총,보조 구조,3,60,1.15,33.33,6.67,4.6
브루저|원거리 딜러|메이지,메인 표준 구조,5198,39.88,13.62,4.293,권총|글러브|아르카나,고성능 니치 구조,4,57,1.1,43.86,17.54,3.947
브루저|원거리 딜러|메이지,메인 표준 구조,5198,39.88,13.62,4.293,도끼|아르카나|저격총,보조 구조,5,56,1.08,28.57,10.71,4.804
브루저|브루저|원거리 딜러,자주 쓰이지만 약한 구조,4952,37.42,12.18,4.422,글러브|양손검|저격총,보조 구조,1,97,1.96,36.08,5.15,4.557
브루저|브루저|원거리 딜러,자주 쓰이지만 약한 구조,4952,37.42,12.18,4.422,글러브|저격총|톤파,보조 구조,2,91,1.84,29.67,10.99,4.505
브루저|브루저|원거리 딜러,자주 쓰이지만 약한 구조,4952,37.42,12.18,4.422,권총|글러브|양손검,메인 표준 구조,3,75,1.51,32.0,10.67,4.6
브루저|브루저|원거리 딜러,자주 쓰이지만 약한 구조,4952,37.42,12.18,4.422,글러브|도끼|저격총,보조 구조,4,73,1.47,38.36,12.33,4.274
브루저|브루저|원거리 딜러,자주 쓰이지만 약한 구조,4952,37.42,12.18,4.422,글러브|아르카나|저격총,보조 구조,5,70,1.41,32.86,8.57,4.486
브루저|원거리 딜러|암살,자주 쓰이지만 약한 구조,4950,36.77,11.37,4.448,글러브|방망이|저격총,보조 구조,1,82,1.66,40.24,15.85,4.402
브루저|원거리 딜러|암살,자주 쓰이지만 약한 구조,4950,36.77,11.37,4.448,글러브|단검|저격총,보조 구조,2,81,1.64,45.68,17.28,4.0
브루저|원거리 딜러|암살,자주 쓰이지만 약한 구조,4950,36.77,11.37,4.448,글러브|도끼|저격총,보조 구조,3,81,1.64,24.69,11.11,4.889
브루저|원거리 딜러|암살,자주 쓰이지만 약한 구조,4950,36.77,11.37,4.448,권총|글러브|단검,보조 구조,4,68,1.37,42.65,16.18,4.221
브루저|원거리 딜러|암살,자주 쓰이지만 약한 구조,4950,36.77,11.37,4.448,방망이|양손검|저격총,보조 구조,5,63,1.27,38.1,7.94,4.683
브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,4915,36.87,11.68,4.452,글러브|양손검|저격총,보조 구조,1,201,4.09,35.82,10.45,4.736
브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,4915,36.87,11.68,4.452,권총|글러브|양손검,메인 표준 구조,2,131,2.67,34.35,7.63,4.634
브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,4915,36.87,11.68,4.452,양손검|저격총|톤파,보조 구조,3,105,2.14,28.57,5.71,4.81
브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,4915,36.87,11.68,4.452,양손검|양손검|저격총,보조 구조,4,102,2.08,35.29,15.69,4.382
브루저|원거리 딜러|근거리 딜러,자주 쓰이지만 약한 구조,4915,36.87,11.68,4.452,글러브|양손검|활,보조 구조,5,97,1.97,38.14,11.34,4.165
탱커|브루저|메이지,메인 표준 구조,4301,38.53,12.44,4.351,망치|아르카나|양손검,보조 구조,1,63,1.46,25.4,4.76,5.0
탱커|브루저|메이지,메인 표준 구조,4301,38.53,12.44,4.351,망치|양손검|투척,보조 구조,2,57,1.33,38.6,14.04,4.456
탱커|브루저|메이지,메인 표준 구조,4301,38.53,12.44,4.351,글러브|망치|투척,보조 구조,3,55,1.28,43.64,18.18,3.945
탱커|브루저|메이지,메인 표준 구조,4301,38.53,12.44,4.351,글러브|돌격소총|망치,보조 구조,4,51,1.19,35.29,5.88,4.49
탱커|브루저|메이지,메인 표준 구조,4301,38.53,12.44,4.351,망치|아르카나|창,기타 무기 조합,5,50,1.16,32.0,14.0,4.58
탱커|원거리 딜러|암살,메인 표준 구조,3016,39.39,13.53,4.33,단검|망치|저격총,보조 구조,1,106,3.51,35.85,11.32,4.528
탱커|원거리 딜러|암살,메인 표준 구조,3016,39.39,13.53,4.33,단검|망치|활,고성능 니치 구조,2,88,2.92,44.32,13.64,4.102
탱커|원거리 딜러|암살,메인 표준 구조,3016,39.39,13.53,4.33,도끼|망치|저격총,고성능 니치 구조,3,86,2.85,46.51,17.44,4.0
탱커|원거리 딜러|암살,메인 표준 구조,3016,39.39,13.53,4.33,도끼|망치|활,보조 구조,4,72,2.39,38.89,13.89,4.347
탱커|원거리 딜러|암살,메인 표준 구조,3016,39.39,13.53,4.33,단검|저격총|채찍,기타 무기 조합,5,59,1.96,47.46,20.34,3.831
원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,2382,40.72,13.98,4.23,권총|아르카나|양손검,보조 구조,1,80,3.36,38.75,15.0,4.212
원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,2382,40.72,13.98,4.23,아르카나|양손검|저격총,보조 구조,2,72,3.02,29.17,15.28,4.375
원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,2382,40.72,13.98,4.23,권총|암기|양손검,보조 구조,3,67,2.81,43.28,16.42,4.134
원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,2382,40.72,13.98,4.23,암기|양손검|저격총,보조 구조,4,60,2.52,51.67,18.33,3.8
원거리 딜러|근거리 딜러|메이지,고성능 니치 구조,2382,40.72,13.98,4.23,권총|양손검|투척,보조 구조,5,51,2.14,25.49,5.88,4.667
탱커|근거리 딜러|메이지,고성능 니치 구조,2067,40.2,13.84,4.281,망치|아르카나|양손검,보조 구조,1,94,4.55,41.49,15.96,4.223
탱커|근거리 딜러|메이지,고성능 니치 구조,2067,40.2,13.84,4.281,망치|양손검|투척,보조 구조,2,88,4.26,40.91,11.36,3.898
탱커|근거리 딜러|메이지,고성능 니치 구조,2067,40.2,13.84,4.281,망치|암기|양손검,고성능 니치 구조,3,66,3.19,45.45,13.64,4.03
탱커|근거리 딜러|메이지,고성능 니치 구조,2067,40.2,13.84,4.281,돌격소총|망치|양손검,보조 구조,4,58,2.81,37.93,20.69,4.328
탱커|근거리 딜러|메이지,고성능 니치 구조,2067,40.2,13.84,4.281,권총|망치|양손검,보조 구조,5,54,2.61,46.3,12.96,4.093
원거리 딜러|메이지|메이지,고성능 니치 구조,1045,40.57,16.65,4.175,권총|아르카나|암기,기타 무기 조합,1,26,2.49,38.46,11.54,4.077
원거리 딜러|메이지|메이지,고성능 니치 구조,1045,40.57,16.65,4.175,아르카나|암기|저격총,기타 무기 조합,2,21,2.01,42.86,9.52,3.81
원거리 딜러|메이지|메이지,고성능 니치 구조,1045,40.57,16.65,4.175,권총|암기|저격총,기타 무기 조합,3,20,1.91,35.0,5.0,4.5
원거리 딜러|메이지|메이지,고성능 니치 구조,1045,40.57,16.65,4.175,권총|권총|암기,기타 무기 조합,4,19,1.82,36.84,21.05,4.421
원거리 딜러|메이지|메이지,고성능 니치 구조,1045,40.57,16.65,4.175,암기|저격총|투척,기타 무기 조합,5,18,1.72,55.56,22.22,3.611
브루저|원거리 딜러|원거리 딜러,고성능 니치 구조,985,42.44,14.92,4.242,권총|글러브|저격총,고성능 니치 구조,1,32,3.25,50.0,18.75,3.844
브루저|원거리 딜러|원거리 딜러,고성능 니치 구조,985,42.44,14.92,4.242,권총|도끼|저격총,보조 구조,2,31,3.15,35.48,19.35,4.129
브루저|원거리 딜러|원거리 딜러,고성능 니치 구조,985,42.44,14.92,4.242,권총|저격총|톤파,기타 무기 조합,3,27,2.74,37.04,7.41,4.667
브루저|원거리 딜러|원거리 딜러,고성능 니치 구조,985,42.44,14.92,4.242,권총|도끼|활,보조 구조,4,20,2.03,60.0,30.0,3.6
브루저|원거리 딜러|원거리 딜러,고성능 니치 구조,985,42.44,14.92,4.242,권총|글러브|활,보조 구조,5,19,1.93,36.84,5.26,4.684
